aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
東北,JR東北本線,藤田,ふじた,"
桑折	貝田	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.32.34.300N37.52.33.200&ZM=8&SZ=672,120",伊達郡国見町山崎,9691771,"
東北本線
"
東北,JR東北本線,貝田,かいだ,"
藤田	越河	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.35.3.800N37.54.18.500&ZM=8&SZ=672,120",伊達郡国見町貝田,9691711,"
東北本線
"
東北,JR東北本線,越河,こすごう,"
貝田	白石（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.36.28.700N37.55.49.800&ZM=8&SZ=672,120",白石市越河五賀,9890111,"
東北本線
"
東北,JR東北本線,東白石,ひがししろいし,"
白石（宮城）	北白川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.39.15.500N38.1.55.400&ZM=8&SZ=672,120",白石市白川内親,9891104,"
東北本線
"
東北,JR東北本線,北白川,きたしらかわ,"
東白石	大河原（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.41.45.400N38.1.46.200&ZM=8&SZ=672,120",白石市白川津田,9891102,"
東北本線
"
東北,JR東北本線,大河原（宮城）,おおがわら,"
北白川	船岡（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.44.38.500N38.2.41.200&ZM=8&SZ=672,120",柴田郡大河原町大谷,9891201,"
東北本線
"
東北,JR東北本線,船岡（宮城）,ふなおか,"
大河原（宮城）	槻木	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.46.14.700N38.3.22.700&ZM=8&SZ=672,120",柴田郡柴田町船岡中央,9891601,"
東北本線
"
東北,JR東北本線,槻木,つきのき,"
船岡（宮城）	岩沼	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.48.48.100N38.4.33.800&ZM=8&SZ=672,120",柴田郡柴田町槻木新町,9891751,"
東北本線
阿武隈急行
"
東北,JR東北本線,館腰,たてこし,"
岩沼	名取	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.53.0.900N38.8.24.400&ZM=8&SZ=672,120",名取市植松,9811226,"
常磐線
東北本線
"
東北,JR東北本線,名取,なとり,"
館腰	南仙台	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.53.10.400N38.10.13.100&ZM=8&SZ=672,120",名取市増田,9811224,"
仙台空港アクセス線
常磐線
東北本線
"
東北,JR東北本線,南仙台,みなみせんだい,"
名取	太子堂	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.53.13.300N38.11.39.700&ZM=8&SZ=672,120",仙台市太白区中田,9811104,"
仙台空港アクセス線
常磐線
東北本線
"
東北,JR東北本線,太子堂,たいしどう,"
南仙台	長町	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.53.12.700N38.12.54.900&ZM=8&SZ=672,120",仙台市太白区郡山,9820003,"
仙台空港アクセス線
常磐線
東北本線
"
東北,JR東北本線,長町,ながまち,"
太子堂	仙台	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.53.20.500N38.13.27.100&ZM=8&SZ=672,120",仙台市太白区長町,9820011,"
仙台地下鉄南北線
仙台空港アクセス線
常磐線
東北本線
"
東北,JR東北本線,陸前山王,りくぜんさんのう,"
岩切	国府多賀城	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.58.58.700N38.17.48.200&ZM=8&SZ=672,120",多賀城市山王,9850852,"
東北本線
"
東北,JR東北本線,国府多賀城,こくふたがじょう,"
陸前山王	塩釜	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.59.53.100N38.17.52.800&ZM=8&SZ=672,120",多賀城市浮島,9850861,"
東北本線
"
東北,JR東北本線,塩釜,しおがま,"
国府多賀城	松島	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.0.46.700N38.18.24.200&ZM=8&SZ=672,120",塩竈市東玉川町,9850036,"
東北本線
"
東北,JR東北本線,松島,まつしま,"
塩釜	愛宕（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.4.7.900N38.22.35.300&ZM=8&SZ=672,120",宮城郡松島町松島,9810213,"
東北本線
"
東北,JR東北本線,愛宕（宮城）,あたご,"
松島	品井沼	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.4.6.900N38.23.40.700&ZM=8&SZ=672,120",宮城郡松島町高城,9810215,"
東北本線
"
東北,JR東北本線,品井沼,しないぬま,"
愛宕（宮城）	鹿島台	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.5.8.700N38.25.42.300&ZM=8&SZ=672,120",宮城郡松島町幡谷,9810205,"
東北本線
"
東北,JR東北本線,鹿島台,かしまだい,"
品井沼	松山町（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.6.5.400N38.28.17.100&ZM=8&SZ=672,120",大崎市鹿島台平渡,9894103,"
東北本線
"
