aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
北海道,JR函館本線,札幌,さっぽろ,"
桑園	苗穂	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.21.16.700N43.3.58.200&ZM=8&SZ=672,120",札幌市北区北六条西,0600806,"
函館本線
千歳線
学園都市線
"
北海道,JR函館本線,苗穂,なえぼ,"
札幌	白石（北海道・ＪＲ）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.22.37.000N43.3.58.300&ZM=8&SZ=672,120",札幌市中央区北三条東,0600033,"
函館本線
千歳線
"
北海道,JR函館本線,白石（北海道・ＪＲ）,しろいし,"
苗穂	厚別	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.25.3.500N43.3.8.300&ZM=8&SZ=672,120",札幌市白石区平和通,0030029,"
函館本線
千歳線
"
北海道,JR函館本線,厚別,あつべつ,"
白石（北海道・ＪＲ）	森林公園（北海道）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.28.0.700N43.2.33.100&ZM=8&SZ=672,120",札幌市厚別区厚別中央五条,0040055,"
函館本線
"
北海道,JR函館本線,森林公園（北海道）,しんりんこうえん,"
厚別	大麻	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.29.7.400N43.3.13.600&ZM=8&SZ=672,120",札幌市厚別区厚別北一条,0040071,"
函館本線
"
北海道,JR函館本線,大麻,おおあさ,"
森林公園（北海道）	野幌	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.30.2.100N43.4.10.400&ZM=8&SZ=672,120",江別市大麻中町,0690854,"
函館本線
"
北海道,JR函館本線,野幌,のっぽろ,"
大麻	高砂（北海道）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.31.59.200N43.5.23.000&ZM=8&SZ=672,120",江別市野幌町,0690813,"
函館本線
"
北海道,JR函館本線,高砂（北海道）,たかさご,"
野幌	江別	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.32.40.200N43.5.51.900&ZM=8&SZ=672,120",江別市高砂町,0670074,"
函館本線
"
北海道,JR函館本線,江別,えべつ,"
高砂（北海道）	豊幌	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.33.38.200N43.6.28.100&ZM=8&SZ=672,120",江別市萩ケ岡,0670071,"
函館本線
"
北海道,JR函館本線,豊幌,とよほろ,"
江別	幌向	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.37.42.200N43.8.2.400&ZM=8&SZ=672,120",江別市豊幌,0670021,"
函館本線
"
北海道,JR函館本線,幌向,ほろむい,"
豊幌	上幌向	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.39.33.700N43.8.57.000&ZM=8&SZ=672,120",岩見沢市幌向南一条,0690371,"
函館本線
"
北海道,JR函館本線,上幌向,かみほろむい,"
幌向	岩見沢	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.43.8.600N43.10.45.800&ZM=8&SZ=672,120",岩見沢市上幌向南一条,0690362,"
函館本線
"
北海道,JR函館本線,岩見沢,いわみざわ,"
上幌向	峰延	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.45.48.100N43.12.6.600&ZM=8&SZ=672,120",岩見沢市有明町南,0680034,"
函館本線
室蘭本線
"
北海道,JR函館本線,峰延,みねのぶ,"
岩見沢	光珠内	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.49.6.200N43.15.44.400&ZM=8&SZ=672,120",美唄市峰延町本町,0790174,"
函館本線
"
北海道,JR函館本線,光珠内,こうしゅない,"
峰延	美唄	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.50.54.500N43.17.25.100&ZM=8&SZ=672,120",美唄市光珠内北,0790162,"
函館本線
"
